round,cluster_id,accuracy,samples
0,0,0.0360,750
0,1,0.0253,750
0,2,0.0280,750
0,3,0.0147,750
0,4,0.0360,750
0,5,0.3813,750
0,6,0.0173,750
0,7,0.3760,750
0,8,0.0320,750
0,9,0.3920,750
0,10,0.3667,750
0,11,0.3267,750
0,12,0.3293,750
0,13,0.3560,750
0,14,0.0133,750
0,15,0.3493,750
0,16,0.3573,750
0,17,0.3187,750
0,18,0.3867,750
0,19,0.3880,750
1,0,0.0800,750
1,1,0.0640,750
1,2,0.0613,750
1,3,0.0280,750
1,4,0.0787,750
1,5,0.4800,750
1,6,0.0280,750
1,7,0.4840,750
1,8,0.0493,750
1,9,0.4827,750
1,10,0.4760,750
1,11,0.4600,750
1,12,0.4733,750
1,13,0.4600,750
1,14,0.0200,750
1,15,0.5147,750
1,16,0.4720,750
1,17,0.4720,750
1,18,0.4853,750
1,19,0.4640,750
2,0,0.1233,1500
2,1,0.1260,1500
2,2,0.0560,750
2,3,0.0440,750
2,4,0.4947,750
2,5,0.5080,750
2,6,0.0640,750
2,7,0.5040,750
2,8,0.0787,750
2,9,0.5413,750
2,10,0.5613,750
2,11,0.6453,750
2,12,0.5507,750
2,13,0.6653,750
2,14,0.5093,750
2,15,0.6800,750
2,16,0.6347,750
2,17,0.5360,750
3,0,0.2233,1500
3,1,0.2293,1500
3,2,0.1507,750
3,3,0.1307,750
3,4,0.5107,750
3,5,0.5333,750
3,6,0.1493,750
3,7,0.5160,750
3,8,0.1693,750
3,9,0.6053,750
3,10,0.6187,750
3,11,0.7613,750
3,12,0.6293,750
3,13,0.7880,750
3,14,0.5253,750
3,15,0.8120,750
3,16,0.7773,750
3,17,0.6067,750
4,0,0.3644,2250
4,1,0.5573,1500
4,2,0.7950,3000
4,3,0.5213,1500
4,4,0.5053,1500
4,5,0.5653,750
4,6,0.6960,1500
4,7,0.7067,750
4,8,0.6827,750
4,9,0.3493,750
4,10,0.5307,750
5,0,0.4880,2250
5,1,0.5773,1500
5,2,0.8453,3000
5,3,0.6373,1500
5,4,0.6140,1500
5,5,0.5867,750
5,6,0.7413,1500
5,7,0.7400,750
5,8,0.7360,750
5,9,0.4733,750
5,10,0.5480,750
6,0,0.5953,3000
6,1,0.5813,3000
6,2,0.7747,3000
6,3,0.6737,3000
6,4,0.8717,3000
7,0,0.6187,3000
7,1,0.6563,3000
7,2,0.7950,3000
7,3,0.7037,3000
7,4,0.8800,3000
8,0,0.6258,2250
8,1,0.8883,3000
8,2,0.8107,1500
8,3,0.6940,3000
8,4,0.7630,3000
8,5,0.6267,750
8,6,0.8280,750
8,7,0.7920,750
9,0,0.6524,2250
9,1,0.8857,3000
9,2,0.8053,1500
9,3,0.6913,3000
9,4,0.8033,3000
9,5,0.6533,750
9,6,0.8387,750
9,7,0.7827,750
10,0,0.8840,2250
10,1,0.6880,3000
10,2,0.8427,1500
10,3,0.8360,750
10,4,0.6880,750
10,5,0.6760,750
10,6,0.8147,750
10,7,0.6827,750
10,8,0.7907,750
10,9,0.8413,750
10,10,0.7893,750
10,11,0.8693,750
10,12,0.8173,750
10,13,0.6800,750
11,0,0.8791,2250
11,1,0.6853,3000
11,2,0.8507,1500
11,3,0.8360,750
11,4,0.7133,750
11,5,0.7040,750
