round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,0.0000,0.00,0.00,0.00
2,0.0313,,1.6604,138.01,0.00,138.01
3,0.2964,,1.5484,138.01,137.74,275.76
4,0.3088,,1.4491,138.01,137.74,275.76
5,0.3100,,1.3638,138.01,137.74,275.76
6,0.3181,,1.2911,138.01,137.74,275.76
7,0.3210,,1.2288,138.01,137.74,275.76
8,0.3198,,1.1754,138.01,137.74,275.76
9,0.3178,,1.1291,138.01,137.74,275.76
10,0.3172,,1.0884,138.01,137.74,275.76
11,0.3140,,1.0525,138.01,137.74,275.76
12,0.3138,,1.0210,138.01,137.74,275.76
13,0.3115,,0.9924,138.01,137.74,275.76
14,0.3073,,0.9684,138.01,137.74,275.76
15,0.3048,,0.9473,138.01,137.74,275.76
16,0.3003,,0.9289,138.01,137.74,275.76
17,0.2954,,0.9061,138.01,137.74,275.76
18,0.2943,,0.8869,138.01,137.74,275.76
19,0.2971,,0.8723,138.01,137.74,275.76
20,0.2975,,0.8591,138.01,137.74,275.76
21,0.2986,,0.8469,138.01,137.74,275.76
22,0.2983,,0.8365,138.01,137.74,275.76
23,0.3009,,0.8257,138.01,137.74,275.76
24,0.3031,,0.8156,138.01,137.74,275.76
25,0.3043,,0.8068,138.01,137.74,275.76
26,0.3069,,0.7981,138.01,137.74,275.76
27,0.3088,,0.7901,138.01,137.74,275.76
28,0.3097,,0.7817,138.01,137.74,275.76
29,0.3124,,0.7734,138.01,137.74,275.76
30,0.3159,,0.7665,138.01,137.74,275.76
31,0.3164,,0.7599,138.01,137.74,275.76
32,0.3199,,0.7517,138.01,137.74,275.76
33,0.3229,,0.7438,138.01,137.74,275.76
34,0.3247,,0.7369,138.01,137.74,275.76
35,0.3270,,0.7319,138.01,137.74,275.76
36,0.3302,,0.7247,138.01,137.74,275.76
37,0.3332,,0.7184,138.01,137.74,275.76
38,0.3334,,0.7110,138.01,137.74,275.76
39,0.3381,,0.7056,138.01,137.74,275.76
40,0.3384,,0.6993,138.01,137.74,275.76
41,0.3408,,0.6926,138.01,137.74,275.76
42,0.3396,,0.6883,138.01,137.74,275.76
43,0.3444,,0.6831,138.01,137.74,275.76
44,0.3457,,0.6775,138.01,137.74,275.76
45,0.3487,,0.6728,138.01,137.74,275.76
46,0.3490,,0.6661,138.01,137.74,275.76
47,0.3507,,0.6617,138.01,137.74,275.76
48,0.3526,,0.6558,138.01,137.74,275.76
49,0.3564,,0.6525,138.01,137.74,275.76
50,0.3581,,0.6460,138.01,137.74,275.76
51,0.3590,,0.6430,138.01,137.74,275.76
52,0.3601,,0.6371,138.01,137.74,275.76
53,0.3613,,0.6325,138.01,137.74,275.76
54,0.3615,,0.6284,138.01,137.74,275.76
55,0.3632,,0.6261,138.01,137.74,275.76
56,0.3673,,0.6206,138.01,137.74,275.76
57,0.3685,,0.6157,138.01,137.74,275.76
58,0.3661,,0.6143,138.01,137.74,275.76
59,0.3664,,0.6106,138.01,137.74,275.76
60,0.3739,,0.6050,138.01,137.74,275.76
61,0.3658,,0.6017,138.01,137.74,275.76
62,0.3655,,0.6002,138.01,137.74,275.76
63,0.3730,,0.5966,138.01,137.74,275.76
64,0.3696,,0.5931,138.01,137.74,275.76
65,0.3713,,0.5878,138.01,137.74,275.76
66,0.3690,,0.5863,138.01,137.74,275.76
67,0.3704,,0.5840,138.01,137.74,275.76
68,0.3728,,0.5799,138.01,137.74,275.76
69,0.3727,,0.5781,138.01,137.74,275.76
70,0.3775,,0.5769,138.01,137.74,275.76
71,0.3768,,0.5722,138.01,137.74,275.76
72,0.3782,,0.5695,138.01,137.74,275.76
73,0.3759,,0.5667,138.01,137.74,275.76
74,0.3765,,0.5643,138.01,137.74,275.76
75,0.3749,,0.5605,138.01,137.74,275.76
76,0.3756,,0.5565,138.01,137.74,275.76
77,0.3764,,0.5539,138.01,137.74,275.76
78,0.3776,,0.5540,138.01,137.74,275.76
79,0.3763,,0.5509,138.01,137.74,275.76
80,0.3790,,0.5475,138.01,137.74,275.76
81,0.3828,,0.5455,138.01,137.74,275.76
82,0.3827,,0.5429,138.01,137.74,275.76
83,0.3843,,0.5429,138.01,137.74,275.76
84,0.3833,,0.5395,138.01,137.74,275.76
85,0.3822,,0.5379,138.01,137.74,275.76
86,0.3869,,0.5367,138.01,137.74,275.76
87,0.3863,,0.5340,138.01,137.74,275.76
88,0.3813,,0.5324,138.01,137.74,275.76
89,0.3886,,0.5293,138.01,137.74,275.76
90,0.3889,,0.5295,138.01,137.74,275.76
91,0.3876,,0.5273,138.01,137.74,275.76
92,0.3903,,0.5242,138.01,137.74,275.76
93,0.3915,,0.5248,138.01,137.74,275.76
94,0.3895,,0.5188,138.01,137.74,275.76
95,0.3837,,0.5207,138.01,137.74,275.76
96,0.3863,,0.5140,138.01,137.74,275.76
97,0.3881,,0.5178,138.01,137.74,275.76
98,0.3941,,0.5156,138.01,137.74,275.76
99,0.3941,,0.5149,138.01,137.74,275.76
100,0.3919,,0.5127,138.01,137.74,275.76
101,0.3978,,0.5115,138.01,137.74,275.76
