class,local_train_count,exposure_bin,probe_samples,lar_acc,lar_max_conf_mean,lar_max_conf_std,lar_true_prob_mean,lar_entropy_mean,lar_ood_rate,prototype_score_mean,prototype_acc
0,0,zero_seen,1000,0.0,0.8607000112533569,0.18109454214572906,0.0008868408622220159,0.4280993640422821,0.061,0.5051352977752686,0.0
1,5,rare_seen,1000,0.0,0.8013767004013062,0.20448234677314758,0.03776325285434723,0.7372552752494812,0.106,0.40439435839653015,0.688
2,0,zero_seen,1000,0.0,0.6071949601173401,0.1766384243965149,0.0009573005372658372,0.9823904633522034,0.292,0.5257423520088196,0.0
3,51,low_seen,1000,0.316,0.5504701733589172,0.16796521842479706,0.249208465218544,1.1375634670257568,0.423,0.5034286975860596,0.665
4,185,low_seen,1000,0.59,0.6582669615745544,0.14974483847618103,0.4755546450614929,0.8547967672348022,0.129,0.5576968789100647,0.671
5,0,zero_seen,1000,0.0,0.5630837678909302,0.1632051020860672,0.0017869911389425397,1.1042078733444214,0.389,0.5064970850944519,0.0
6,0,zero_seen,1000,0.0,0.5259101390838623,0.1470327377319336,0.003948546480387449,1.2217493057250977,0.43,0.45821020007133484,0.0
7,350,high_seen,1000,0.818,0.7723853588104248,0.18259212374687195,0.7076924443244934,0.6216778755187988,0.086,0.5140253305435181,0.672
8,1058,high_seen,1000,0.968,0.9507402181625366,0.11588791012763977,0.9388421773910522,0.18086771667003632,0.023,0.5780155062675476,0.846
9,0,zero_seen,1000,0.0,0.7175486087799072,0.24127396941184998,0.023209095001220703,0.962197482585907,0.217,0.36571887135505676,0.0
